account_id,Account_type,Card_Assigned
1573,Savings account,Silver
3276,Salary account,Silver
124,Salary account,Diamond
3958,NRI account,Silver
777,Savings account,Silver
3025,Salary account,Diamond
906,NRI account,Silver
845,Savings account,Silver
3048,Salary account,Diamond
1983,NRI account,Silver
727,NRI account,Silver
4332,NRI account,Silver
564,NRI account,Silver
3934,NRI account,Silver
1318,Salary account,Silver
889,NRI account,Silver
3385,Salary account,Silver
703,Savings account,Silver
1177,Salary account,Silver
246,Salary account,Silver
1171,NRI account,Silver
3187,Salary account,Silver
2791,Savings account,Silver
3169,Savings account,Silver
2049,Savings account,Silver
758,Salary account,Silver
2440,NRI account,Silver
1186,NRI account,Silver
3911,Salary account,Silver
3992,Savings account,Silver
579,NRI account,Silver
2892,Savings account,Silver
3616,NRI account,Silver
938,Savings account,Silver
3501,Salary account,Silver
2820,NRI account,Silver
3033,NRI account,Silver
3174,Savings account,Silver
134,Salary account,Silver
1229,Salary account,Silver
3209,Salary account,Silver
1072,NRI account,Silver
1156,Salary account,Silver
3836,Salary account,Silver
3013,NRI account,Silver
673,Savings account,Silver
3406,Salary account,Silver
2796,Salary account,Diamond
2775,Savings account,Silver
