Experience_Years,Education_Level,Monthly_Salary
15,Master,111416
7,Bachelor,95271
12,High School,69064
8,PhD,95091
15,Master,132450
3,High School,65818
14,PhD,70525
17,PhD,44830
4,Bachelor,42429
18,High School,31893
8,PhD,141381
4,Master,104909
2,Master,72333
6,Bachelor,28436
10,PhD,99290
4,High School,101213
18,Master,30895
12,PhD,44738
2,PhD,55746
10,Bachelor,74377
4,Master,73404
14,Master,79045
16,High School,122888
15,Master,64790
8,High School,132455
14,Master,30600
8,Bachelor,119660
16,Master,118179
13,High School,65764
18,High School,99543
15,Bachelor,70714
13,Master,81835
9,Master,127946
15,Bachelor,134616
13,Master,130983
1,Master,98744
7,High School,81491
9,Master,149123
1,Master,43589
12,Bachelor,68484
8,Bachelor,107989
11,PhD,61212
19,High School,68525
17,Master,72202
8,Master,57635
3,PhD,88208
3,Master,58828
1,High School,43711
5,PhD,28420
10,High School,121752
